Sample	PC1	PC2	PC3	Coverage	Age	Latitude	Longitude	Sex	Site	Species
18ELTu18_Spa_m588	0.0507496	-0.00877187	0.00862397	1.120820036	638	38.95	-6.06	male	site1	horse
AC7970_Tur_m290	0.0532188	-0.00561499	0.00987705	1.163410085	340	38.41	33.84	male	site2	horse
AC8811_Tur_m2125	0.0478473	-0.00397213	0.00955313	4.180880673	2175	38.41	33.84	female	site2	horse
AC9016_Tur_m1900	0.0453787	-0.0049606	0.00772189	1.436700298	1950	38.41	33.84	male	site2	horse
Arab_SAM1574_WGA	0.0604885	-0.00167269	0.0115083		0	0	0	unknown	unknown	horse
ARUS0224B_x_10022	-0.178606	0.0418041	0.289098	25.73810527	40660	73.05	109.71	female	unknown	horse
ARUS0225B_x_10023	-0.129738	0.0287228	0.17251	10.80238413	14220	73.05	109.71	male	unknown	horse
Arz15_Rus_m650	0.0552203	-0.00248468	0.0098606	6.889495759	700	52.07	93.52	male	unknown	horse
Arz1x12_Rus_m854	0.0530503	-0.00370469	0.0100728	4.823303341	904	52.07	93.52	male	unknown	horse
Arz1x13_Rus_m581	0.0513193	0.00060857	0.00745711	10.14725143	631	52.07	93.52	male	unknown	horse
Arz1x14_Rus_m800	0.0527099	-0.00326628	0.00899803	2.94780847	850	52.07	93.52	male	unknown	horse
Batagai_NO_NUMBER	-0.251249	0.0673422	0.634455	17.2130998	3186	67.57	134.77	male	unknown	horse
Besta5_Kaz_m1892	0.0468782	-0.00677098	0.00729095	1.388049061	1942	51.58	64.72	male	unknown	horse
Besta6_Kaz_m661	0.0493931	-0.00363999	0.00784199	1.76342758	711	51.58	64.72	male	unknown	horse
Besta7_Kaz_m3132	-0.0503219	0.0679504	-0.0415458	10.95574468	3182	51.58	64.72	female	unknown	horse
Bi5x1_Rus_m625	0.050399	-0.0037699	0.00821181	1.488035143	675	51.16	86.14	male	unknown	horse
Borly1_Kaz_m4449	-0.0732399	0.0715705	-0.035695	2.961884438	4499	51.83	77.95	female	unknown	horse
